한화,LG,롯데,삼성,KIA,SSG,KT,NC,두산,키움,팀명
■,4-5-1,4-6-0,4-2-0,5-3-0,4-2-0,5-3-0,6-3-0,5-4-0,5-1-0,한화
5-4-1,■,3-1-1,5-4-0,3-2-0,8-4-0,2-3-0,6-5-0,3-3-0,6-3-0,LG
6-4-0,1-3-1,■,5-3-0,2-4-0,5-6-0,5-2-2,3-3-0,5-4-0,7-2-0,롯데
2-4-0,4-5-0,3-5-0,■,7-3-0,4-4-1,2-5-0,6-3-0,5-4-0,5-0-0,삼성
3-5-0,2-3-0,4-2-0,3-7-0,■,2-3-0,7-5-0,4-3-0,7-2-0,5-3-1,KIA
2-4-0,4-8-0,6-5-0,4-4-1,3-2-0,■,5-3-0,4-1-1,4-1-0,4-5-0,SSG
3-5-0,3-2-0,2-5-2,5-2-0,5-7-0,3-5-0,■,2-4-0,6-2-1,7-2-0,KT
3-6-0,5-6-0,3-3-0,3-6-0,3-4-0,1-4-1,4-2-0,■,3-1-2,6-2-1,NC
4-5-0,3-3-0,4-5-0,4-5-0,2-7-0,1-4-0,2-6-1,1-3-2,■,7-3-0,두산
1-5-0,3-6-0,2-7-0,0-5-0,3-5-1,5-4-0,2-7-0,2-6-1,3-7-0,■,키움
