LG,롯데,한화,SSG,NC,삼성,KIA,KT,두산,키움,팀명
■,3-1-1,3-2-0,4-2-0,3-2-0,5-1-0,3-2-0,2-3-0,3-3-0,5-1-0,LG
1-3-1,■,3-1-0,3-3-0,3-3-0,5-1-0,2-4-0,3-1-2,3-3-0,6-0-0,롯데
2-3-0,1-3-0,■,4-2-0,4-2-0,4-2-0,4-1-0,3-2-0,2-4-0,5-1-0,한화
2-4-0,3-3-0,2-4-0,■,2-1-0,2-3-1,3-2-0,4-1-0,4-1-0,2-4-0,SSG
2-3-0,3-3-0,2-4-0,1-2-0,■,2-4-0,2-2-0,4-2-0,2-0-1,4-2-0,NC
1-5-0,1-5-0,2-4-0,3-2-1,4-2-0,■,3-1-0,2-3-0,3-3-0,5-0-0,삼성
2-3-0,4-2-0,1-4-0,2-3-0,2-2-0,1-3-0,■,3-3-0,5-1-0,3-3-0,KIA
3-2-0,1-3-2,2-3-0,1-4-0,2-4-0,3-2-0,3-3-0,■,4-1-1,4-2-0,KT
3-3-0,3-3-0,4-2-0,1-4-0,0-2-1,3-3-0,1-5-0,1-4-1,■,4-1-0,두산
1-5-0,0-6-0,1-5-0,4-2-0,2-4-0,0-5-0,3-3-0,2-4-0,1-4-0,■,키움
